"spp","count","dbh"
"Melastomataceae Miconia M5",1,6
"Asteraceae Gynoxys M1",1,3
"Alzateaceae Alzatea M1",1,15
"Cunoniaceae Weinmannia M5",1,4
"Chloranthaceae Hedyosmum M1",1,7
"Rosaceae Prunus M1",1,2.5
"Rosaceae Prunus M1",1,3
"Rosaceae Prunus M1",1,2.5
"Araceae Philodendron M1",1,2.5
"Asteraceae M1",1,2.5
"Melastomataceae Miconia M7",1,3
"Melastomataceae Miconia M7",1,10
"Rosaceae Prunus M1",1,2.5
"Symplocaceae Symplocos M1",1,3
"Melastomataceae Miconia M5",1,2.5
"Myrtaceae M1",1,4
"Clusiaceae Clusia M1",1,2.5
"Clusiaceae Clusia M1",1,2.5
"Araliaceae Schefflera M1",1,2.5
"Araliaceae Schefflera M1",1,12
"Araliaceae Schefflera M1",1,5
"Araliaceae Schefflera M1",1,7
"Araliaceae Schefflera M1",1,10
"Araliaceae Schefflera M1",1,4
"Araliaceae Schefflera M1",1,7
"Araliaceae Schefflera M1",1,10
"Araliaceae Schefflera M1",1,5
"Araliaceae Schefflera M1",1,2.5
"Araliaceae Schefflera M1",1,7
"Araliaceae Schefflera M1",1,4
"Araliaceae Schefflera M1",1,9
"Araliaceae Schefflera M1",1,2.5
"Araliaceae Schefflera M1",1,6
"Araliaceae Schefflera M1",1,2.5
"Araliaceae Schefflera M1",1,4
"Araliaceae Schefflera M1",1,4
"Araliaceae Schefflera M1",1,2.5
"Araliaceae Schefflera M1",1,3
"Araliaceae Schefflera M1",1,7
"Araliaceae Schefflera M1",1,3
"Araliaceae Schefflera M1",1,2.5
"Araliaceae Schefflera M1",1,5
"Araliaceae Schefflera M1",1,4
"Araliaceae Schefflera M1",1,5
"Araliaceae Schefflera M1",1,10
"Araliaceae Schefflera M1",1,3
"Araliaceae Schefflera M1",1,5
"Clusiaceae Vismia M1",1,5
"Melastomataceae Miconia M2",1,7
"Melastomataceae Miconia M2",1,5
"Melastomataceae Miconia M2",1,4
"Melastomataceae Miconia M2",1,4
"Melastomataceae Miconia M2",1,4
"Cunoniaceae Weinmannia M4",1,2.5
"Clusiaceae Clusia M2",1,4
"Clusiaceae Clusia M5",1,2.5
"Cunoniaceae Weinmannia M1",1,2.5
"Cunoniaceae Weinmannia M1",1,4
"Araliaceae Schefflera M3",1,8
"Clusiaceae Vismia M1",1,3
"Clusiaceae Vismia M1",1,2.5
"Clusiaceae Vismia M1",1,2.5
"Arecaceae Geonoma M1",1,5
"Arecaceae Geonoma M1",1,7
"Arecaceae Geonoma M1",1,7
"Arecaceae Geonoma M1",1,7
"Clusiaceae Vismia M1",1,2.5
"Melastomataceae Miconia M8",1,3
"Rubiaceae Elaeagia M1",1,2.5
"Podocarpaceae Podocarpus M1",1,3
"Podocarpaceae Podocarpus M1",1,3
"Podocarpaceae Podocarpus M1",1,25
"Rubiaceae Elaeagia M1",1,3
"Araliaceae Oreopanax M1",1,4
"Myrsinaceae Myrsine M2",1,2.5
"Myrtaceae M1",1,2.5
"Myrtaceae M1",1,2.5
"Cunoniaceae Weinmannia M3",1,2.5
"Rubiaceae Cinchona M1",1,2.5
"Rubiaceae Cinchona M1",1,2.5
"Araceae Philodendron M1",1,2.5
"Araliaceae Schefflera M2",1,3
"Symplocaceae Symplocos M1",1,2.5
"Alzateaceae Alzatea M1",1,4
"Arecaceae Geonoma M1",1,6
"Arecaceae Geonoma M1",1,6
"Arecaceae Geonoma M1",1,6
"Lauraceae M1",1,2.5
"Clusiaceae Clusia M1",1,7
"Clusiaceae Clusia M1",1,4
"Caprifoliaceae Viburnum M1",1,5
"Cunoniaceae Weinmannia M2",1,2.5
"Cunoniaceae Weinmannia M2",1,2.5
"Lauraceae Persea M1",1,3
"Clusiaceae Clusia M1",1,15
"Winteraceae Drimys M1",1,2.5
"Araceae Anthurium M1",1,2.5
"Melastomataceae Miconia M7",1,3
"Melastomataceae Miconia M7",1,3
"Melastomataceae Miconia M7",1,2.5
"Rubiaceae Psychotria M2",1,2.5
"Loganiaceae Desfontainea M1",1,3
"Loganiaceae Desfontainea M1",1,2.5
"Loganiaceae Desfontainea M1",1,2.5
"Loganiaceae Desfontainea M1",1,3
"Loganiaceae Desfontainea M1",1,2.5
"Melastomataceae Miconia M2",1,2.5
"Melastomataceae Miconia M2",1,2.5
"Melastomataceae Miconia M2",1,3
"Melastomataceae Miconia M2",1,2.5
"Araceae Stenospermation M1",1,4
"Araceae Stenospermation M1",1,3
"Araceae Stenospermation M1",1,3
"Araliaceae Schefflera M1",1,2.5
"Araliaceae Schefflera M1",1,15
"Araliaceae Schefflera M1",1,15
"Araliaceae Schefflera M1",1,6
"Araliaceae Schefflera M1",1,17
"Araliaceae Schefflera M1",1,8
"Araliaceae Schefflera M1",1,18
"Araliaceae Schefflera M1",1,3
"Polygalaceae Monnina M1",1,2.5
"Clusiaceae Clusia M2",1,10
"Clusiaceae Clusia M2",1,2.5
"Clusiaceae Clusia M2",1,2.5
"Clusiaceae Clusia M2",1,2.5
"Melastomataceae Miconia M6",1,2.5
"Melastomataceae Miconia M6",1,3
"Rubiaceae Psychotria M2",1,5
"Chloranthaceae Hedyosmum M1",1,4
"Polygalaceae Monnina M2",1,2.5
"Rubiaceae Psychotria M1",1,3
"Rubiaceae Psychotria M1",1,2.5
"Rubiaceae Psychotria M1",1,2.5
"Rubiaceae Psychotria M1",1,3
"Symplocaceae Symplocos M3",1,5
"Chloranthaceae Hedyosmum M1",1,2.5
"Rubiaceae Psychotria M2",1,7
"Rubiaceae Psychotria M5",1,2.5
"Araliaceae Schefflera M2",1,2.5
"Cunoniaceae Weinmannia M4",1,2.5
"Cunoniaceae Weinmannia M4",1,5
"Cunoniaceae Weinmannia M4",1,11
"Cunoniaceae Weinmannia M4",1,22
"Myrsinaceae Myrsine M2",1,12
"Rubiaceae Palicourea M1",1,5
"Melastomataceae Miconia M4",1,2.5
"Araceae Stenospermation M1",1,3
"Araceae Stenospermation M1",1,3
"Araceae Stenospermation M1",1,4
"Araceae Stenospermation M1",1,3
"Araceae Stenospermation M1",1,3
"Clusiaceae Clusia M5",1,2.5
"Clusiaceae Clusia M5",1,6
"Clusiaceae Clusia M5",1,4
"Clusiaceae Clusia M5",1,2.5
"Clusiaceae Clusia M2",1,5
"Melastomataceae Miconia M3",1,4
"Araliaceae Schefflera M1",1,3
"Clusiaceae Clusia M4",1,4
"Clusiaceae Clusia M4",1,10
"Clusiaceae Clusia M4",1,5
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,4
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,3
"Clusiaceae Clusia M4",1,5
"Clusiaceae Clusia M4",1,3
"Clusiaceae Clusia M4",1,3
"Symplocaceae Symplocos M1",1,2.5
"Podocarpaceae Podocarpus M1",1,17
"Araliaceae Schefflera M5",1,17
"Rubiaceae Psychotria M1",1,2.5
"Rubiaceae Psychotria M1",1,2.5
"Clusiaceae Vismia M1",1,6
"Clusiaceae Vismia M1",1,5
"Rubiaceae Psychotria M1",1,2.5
"Rubiaceae Psychotria M1",1,2.5
"Symplocaceae Symplocos M2",1,2.5
"Clusiaceae Clusia M4",1,3
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,8
"Clusiaceae Clusia M4",1,4
"Clusiaceae Clusia M4",1,5
"Clusiaceae Clusia M4",1,3
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,4
"Clusiaceae Clusia M4",1,3
"Clusiaceae Clusia M4",1,10
"Magnoliaceae Talauma M1",1,2.5
"Rubiaceae Psychotria M3",1,3
"Arecaceae Geonoma M1",1,6
"Arecaceae Geonoma M1",1,6
"Arecaceae Geonoma M1",1,6
"Melastomataceae Miconia M2",1,13
"Melastomataceae Miconia M2",1,4
"Melastomataceae Miconia M2",1,2.5
"Melastomataceae Miconia M2",1,3
"Araliaceae Schefflera M2",1,2.5
"Araliaceae Schefflera M2",1,2.5
"Araliaceae Schefflera M2",1,4
"Araliaceae Schefflera M2",1,4
"Araliaceae Schefflera M1",1,12
"Araliaceae Schefflera M1",1,6
"Araliaceae Schefflera M1",1,4
"Araliaceae Schefflera M1",1,3
"Araliaceae Schefflera M1",1,5
"Winteraceae Drimys M1",1,5
"Winteraceae Drimys M1",1,6
"Winteraceae Drimys M1",1,9
"Winteraceae Drimys M1",1,2.5
"Arecaceae Geonoma M1",1,4
"Chloranthaceae Hedyosmum M1",1,2.5
"Clusiaceae Clusia M5",1,2.5
"Aquifoliaceae Ilex M3",1,2.5
"Arecaceae Geonoma M1",1,6
"Arecaceae Geonoma M1",1,6
"Araliaceae Schefflera M2",1,2.5
"Araliaceae Schefflera M2",1,3
"Clusiaceae Clusia M3",1,8
"Clusiaceae Clusia M3",1,10
"Clusiaceae Clusia M3",1,30
"Cyathea M1",1,5
"Cyathea M1",1,6
"Cyathea M1",1,7
"Lauraceae Persea M2",1,4
"Melastomataceae Miconia M1",1,2.5
"Melastomataceae Miconia M1",1,2.5
"Melastomataceae Miconia M1",1,2.5
"Melastomataceae Miconia M1",1,2.5
"Melastomataceae Miconia M1",1,2.5
"Rubiaceae Palicourea M1",1,3
"Cunoniaceae Weinmannia M1",1,3
"Cunoniaceae Weinmannia M1",1,2.5
"Cunoniaceae Weinmannia M1",1,2.5
"Cunoniaceae Weinmannia M2",1,2.5
"Cunoniaceae Weinmannia M2",1,2.5
"Araceae Stenospermation M1",1,3
"Clusiaceae Clusia M2",1,6
"Clusiaceae Clusia M2",1,2.5
"Clusiaceae Clusia M2",1,3
"Clusiaceae Clusia M2",1,4
"Clusiaceae Clusia M2",1,2.5
"Clusiaceae Clusia M2",1,4
"Cunoniaceae Weinmannia M1",1,2.5
"Aquifoliaceae Ilex M3",1,7
"Winteraceae Drimys M1",1,7
"Winteraceae Drimys M1",1,5
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
"Podocarpaceae Podocarpus M1",1,13
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,4
"Clusiaceae Clusia M4",1,2.5
"Podocarpaceae Podocarpus M1",1,10
"Araliaceae Schefflera M4",1,4
"Araliaceae Oreopanax M1",1,4
"Asteraceae Gynoxys M1",1,2.5
"Flacourtiaceae Abatia M1",1,4
"Flacourtiaceae Abatia M1",1,3
"Podocarpaceae Podocarpus M1",1,2.5
"Symplocaceae Symplocos M1",1,2.5
"Theaceae Ternstroemia M1",1,5
"Theaceae Ternstroemia M1",1,3
"Orchidaceae Epidendrum M1",1,2.5
"Orchidaceae Epidendrum M1",1,2.5
"Cyathea M1",1,7
"Melastomataceae Miconia M5",1,2.5
"Polygalaceae Monnina M1",1,2.5
"Araliaceae Schefflera M1",1,7
"Araliaceae Schefflera M1",1,8
"Cyathea M1",1,7
"Cyathea M1",1,7
"Cyathea M1",1,6
"Cyathea M1",1,6
"Rubiaceae Psychotria M4",1,3
"Araliaceae Schefflera M4",1,2.5
"Podocarpaceae Podocarpus M1",1,6
"Sabiaceae Meliosma M1",1,4
"Ericaceae M1",1,2.5
"Magnoliaceae Talauma M1",1,2.5
"Clusiaceae Clusia M3",1,2.5
"Melastomataceae Miconia M9",1,4
"Melastomataceae Miconia M9",1,2.5
"Melastomataceae Miconia M9",1,2.5
"Melastomataceae Miconia M9",1,4
"Araliaceae Oreopanax M1",1,4
"Lauraceae Persea M1",1,2.5
"Lauraceae Persea M1",1,3
"Melastomataceae Miconia M6",1,3
"Ericaceae M1",1,3
"Symplocaceae Symplocos M2",1,8
"Symplocaceae Symplocos M2",1,2.5
"Symplocaceae Symplocos M2",1,2.5
"Symplocaceae Symplocos M2",1,7
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
"Rubiaceae Cinchona M1",1,3
"Rubiaceae Cinchona M1",1,3
"Rubiaceae Cinchona M1",1,4
"Rubiaceae Cinchona M1",1,5
"Theaceae Ternstroemia M1",1,2.5
"Clusiaceae Clusia M4",1,3
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,5
"Rubiaceae Psychotria M1",1,2.5
"Rubiaceae Psychotria M1",1,2.5
"Rubiaceae Psychotria M1",1,5
"Rubiaceae Psychotria M1",1,7
"Alzateaceae Alzatea M1",1,40
"Clusiaceae Clusia M1",1,2.5
"Clusiaceae Clusia M1",1,5
"Clusiaceae Clusia M1",1,2.5
"Clusiaceae Clusia M1",1,2.5
"Clusiaceae Clusia M4",1,4
"Clusiaceae Clusia M4",1,4
"Clusiaceae Clusia M4",1,5
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,8
"Clusiaceae Clusia M4",1,2.5
"Cyclanthaceae Sphaeradenia M1",1,7
"Aquifoliaceae Ilex M1",1,7
"Arecaceae Ceroxylon M1",1,15
"Myrsinaceae Myrsine M1",1,3
"Caprifoliaceae Viburnum M1",1,2.5
"Caprifoliaceae Viburnum M1",1,8
"Caprifoliaceae Viburnum M1",1,8
"Caprifoliaceae Viburnum M1",1,9
"Caprifoliaceae Viburnum M1",1,8
"Caprifoliaceae Viburnum M1",1,4
"Clusiaceae Clusia M2",1,5
"Clusiaceae Clusia M2",1,2.5
"Clusiaceae Clusia M2",1,2.5
"Myricaceae Myrica M1",1,4
"Myricaceae Myrica M1",1,3
"Euphorbiaceae Alchornea M1",1,9
"Euphorbiaceae Alchornea M1",1,1.5
"Rosaceae Prunus M1",1,5
"Arecaceae Geonoma M1",1,5
"Melastomataceae Miconia M3",1,4
"Rubiaceae Psychotria M2",1,2.5
"Rubiaceae Psychotria M2",1,2.5
"Rubiaceae Psychotria M2",1,3
"Aquifoliaceae Ilex M1",1,5
"Aquifoliaceae Ilex M1",1,2.5
"Clusiaceae Clusia M2",1,3
"Clusiaceae Clusia M2",1,2.5
"Ericaceae M1",1,2.5
"Aquifoliaceae Ilex M4",1,12
"Aquifoliaceae Ilex M4",1,8
"Clusiaceae Clusia M1",1,8
"Clusiaceae Clusia M1",1,5
"Clusiaceae Clusia M1",1,3
"Alzateaceae Alzatea M1",1,40
"Melastomataceae Miconia M2",1,4
"Melastomataceae Miconia M2",1,2.5
"Melastomataceae Miconia M2",1,2.5
"Aquifoliaceae Ilex M2",1,2.5
"Araliaceae Schefflera M2",1,2.5
"Araliaceae Schefflera M2",1,2.5
"Araliaceae Schefflera M2",1,2.5
"Melastomataceae Miconia M2",1,2.5
"Melastomataceae Miconia M2",1,2.5
"Melastomataceae Miconia M2",1,2.5
"Melastomataceae Miconia M2",1,2.5
"Aquifoliaceae Ilex M2",1,3
"Aquifoliaceae Ilex M2",1,3
"Aquifoliaceae Ilex M2",1,3
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
"Winteraceae Drimys M1",1,2.5
"Myrsinaceae Myrsine M1",1,3
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
"Arecaceae Ceroxylon M1",1,2.5
