Unnamed: 0,Site,Plot,Type,Location ,Year,A_ha,S,N,E,B,E_2_3,B_2_3,pBnum,pBnum_2_3,pB0,pB1,lambda_1,lambda_2,beta
10,CSIRO permament rainforest plots of North Queensland,EP29,Tropical trees,Queensland Australia,1981,0.5,49,487,2634.251,5684.6309999999985,2634.251,8668.003,6895.673229931948,12084.804828139993,11538.533149144068,7497.785921511836,0.004694475961341631,0.02281987527308172,0.02751435123442335
11,CSIRO permament rainforest plots of North Queensland,EP30,Tropical trees,Queensland Australia,1976,0.5,66,552,3737.412,9528.809,3737.412,15943.01,10540.271333102937,19068.849835485962,17823.629542607807,11072.684328934096,0.014092734942281915,0.020719454814636225,0.03481218975691814
12,CSIRO permament rainforest plots of North Queensland,EP31,Tropical trees,Queensland Australia,1978,0.5,47,236,2544.609,8096.39,2544.609,15116.9,8035.359140875196,15145.645044623747,15259.196330268973,7894.39506463311,0.05167154177209189,0.020358579560246018,0.07203012133233791
13,CSIRO permament rainforest plots of North Queensland,EP32,Tropical trees,Queensland Australia,1983,0.5,51,437,1887.393,4519.255,1887.393,7595.75,4346.291808453802,7097.923930048902,7734.365286890829,4837.196095654938,-0.0014905224749627022,0.03516288343917821,0.033672360964215504
14,CSIRO permament rainforest plots of North Queensland,EP33,Tropical trees,Queensland Australia,1990,0.5,43,307,4435.325,15840.59,4435.325,32032.39,16563.747607914986,34290.67699068196,27643.18911156299,16376.33662295858,0.03296214323401858,0.010415846620602787,0.043377989854621365
15,CSIRO permament rainforest plots of North Queensland,EP34,Tropical trees,Queensland Australia,1984,0.5,59,290,3040.91,9044.354,3040.91,16318.1,9468.287176787711,17710.69442684836,18157.383671712047,9300.726175241936,0.052901661162193754,0.021447448298926537,0.07434910946112029
16,CSIRO permament rainforest plots of North Queensland,EP40,Tropical trees,Queensland Australia,1998,0.5,48,477,3859.423,11095.37,3859.423,19941.36,12066.053227010054,23114.627556071748,19333.48135208967,12562.585243059468,0.013328093697309685,0.01419101040881049,0.027519104106120174
17,CSIRO permament rainforest plots of North Queensland,EP41,Tropical trees,Queensland Australia,1983,0.5,50,369,2775.138,6739.585,2775.138,10840.03,8031.567003573675,14660.877243989167,13862.971399752369,8299.423223941098,0.020630515605817492,0.020780188002516898,0.04141070360833439
18,CSIRO permament rainforest plots of North Queensland,EP42,Tropical trees,Queensland Australia,1977,0.5,58,243,2732.4790000000007,9317.053,2732.4790000000007,18082.58,8535.921832270407,15922.508424700532,17454.615736225078,8227.767707808543,0.07133770903580039,0.02329804750311209,0.09463575653891249
19,CSIRO permament rainforest plots of North Queensland,EP43,Tropical trees,Queensland Australia,1984,0.5,59,385,4151.287,12856.02,4151.287,23767.19,13648.055383158384,26449.337443544347,23736.88599140053,13643.572844066386,0.03359035290297466,0.015665295820525626,0.04925564872350029
20,CSIRO permament rainforest plots of North Queensland,EP44,Tropical trees,Queensland Australia,1990,0.5,58,443,3779.391,10811.51,3779.391,19266.65,11588.96856717075,21798.576961877952,19621.50197961263,11871.711423709447,0.02208885992687247,0.017384053607625724,0.039472913534498194
21,RMBL,Belleview,Subalpine meadow flora,Colorado USA,2012,0.0064,31,877,917872.0,17532137.0,917872.0,81474199.0,19289184.007295076,98443525.98794076,23932917.164217446,18596954.255934134,0.00706650744159642,3.3806073097454184e-05,0.007100313514693874
22,BCI,CTFS,Tropical trees,Panama,1982,50,307,235338,23944860.0,405723649.0,23944860.0,1913213810.0,462468073.2233975,2553872013.5158873,483754150.09153587,454077521.7431179,0.00013496095422886923,1.294838419770757e-05,0.0001479093384265768
23,Cocoli,CTFS,Tropical trees,Panama,1997,2,171,8290,1717206.0,29636476.0,1717206.0,132037706.0,23311229.619578764,97402285.68104886,27551152.86325017,22621175.734908324,0.003570573386678772,0.00010006343202357518,0.003670636818702347
24,Sherman,CTFS,Tropical trees,Panama,1997,5.96,225,24453,2325982.0,24937441.0,2325982.0,89063010.0,28586401.88911199,117055646.65883468,32150196.86072248,27979182.115782954,0.0013011828003915205,9.776109707937636e-05,0.0013989438974708968
25,Pasoh,CTFS,Tropical trees,Malaysia,1985,50,673,55187,2559037.0,26364916.0,2559037.0,96179116.0,23089693.852311064,80343904.866712,26697903.22013306,22827102.58840065,0.001683740619177343,0.0002687860694530423,0.0019525266886303854
26,UC Santa Cruz,FERC,Temperate forest community,California USA,2006,6,31,8370,10046216.0,223493837.0,10046216.0,1124946208.0,352478505.5907804,2517644025.9888506,376043691.14481175,342007447.1415944,0.00047195805024326487,3.0883119745013022e-06,0.00047504636221776616
27,Catuba,Catuba,Tropical trees,Brazil,1999,20,156,1009,17760.1,62397.22,17760.1,122046.5,70290.40748973901,149329.05999879222,119720.60820818045,68599.43915406315,0.04056662453983961,0.009312821247559862,0.04987944578739947
28,Harvard Forest,EMS Tower,Temperate trees,"Massachsetts, USA",1993,1.26,15,759,4953.74,10880.94,4953.74,16552.48,18479.303476265817,41226.496037786375,24734.188626297542,20545.68343260809,-0.0004648339685701299,0.0035759069692042895,0.0031110730006341596
29,Harvard Forest,Lyford mapped tree plot,Temperate trees,"Massachsetts, USA",1969,2.88,24,3696,141101.3,655151.6,141101.3,1474992.0,1350240.7768606197,4961369.374955614,1512056.9995774084,1343283.237362234,0.0007162493860616137,0.00017466575161220128,0.000890915137673815
30,Traunstein Forest Dynamics Plot ,,Temperate trees,Germany,2016,25,29,15758,425993.7,1679991.0,425993.7,3433256.0,4729082.071793184,19700619.64151691,5135717.686210306,4781930.7567743715,0.0001387433027617449,7.069106857350543e-05,0.00020943437133525035
31,Hawaii,Volcano (200 y),Tropical arthropods,Hawaii USA,1997,,167,1909,83121.76,424260.2,49565.32,424260.2,502188.2705894083,606076.4427109379,726575.6996564638,487557.97583814483,0.02075096604330082,0.0020563271091882606,0.02280729315248908
32,Hawaii,Lanai (1500 y),Tropical arthropods,Hawaii USA,1997,,156,2253,41210.11,165838.1,26991.72,165838.1,189659.66129639847,228517.727237202,269668.4798492044,189617.90806506897,0.012753850867918484,0.004004403817428962,0.016758254685347446
33,Hawaii,Kohala (150 ky),Tropical arthropods,Hawaii USA,1997,,240,6048,87168.36,339471.8,58945.59,339471.8,404777.1916553804,519984.94717396435,540240.2899150131,413738.99955384375,0.005266699964891415,0.0029585667519226987,0.008225266716814113
34,Hawaii,Molokai (1.2 My),Tropical arthropods,Hawaii USA,1997,,227,3865,102189.2,413508.2,65915.06,413508.2,555142.188649225,719335.5193350889,759110.2400343304,549241.3979539301,0.011229338172011357,0.002308689010436902,0.013538027182448259
35,Hawaii,Kauai (4My),Tropical arthropods,Hawaii USA,1997,,158,1922,35818.52,137916.7,23893.82,137916.7,161073.49504373266,196698.49693848356,235743.1748729864,160297.92388929956,0.016338032922462668,0.004661245461185987,0.020999278383648654
